"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Adults (15+) estimate","2012","UNAIDS_Spectrum Estimates_","Number","221",""
"Afghanistan","Adults (15+) estimate","2011","UNAIDS_Spectrum Estimates_","Number","204",""
"Afghanistan","Adults (15+) estimate","2010","UNAIDS_Spectrum Estimates_","Number","193",""
"Afghanistan","Adults (15+) estimate","2009","UNAIDS_Spectrum Estimates_","Number","182",""
"Afghanistan","Adults (15+) estimate","2008","UNAIDS_Spectrum Estimates_","Number","167",""
"Afghanistan","Adults (15+) estimate","2007","UNAIDS_Spectrum Estimates_","Number","152",""
"Afghanistan","Adults (15+) estimate","2006","UNAIDS_Spectrum Estimates_","Number","138",""
"Afghanistan","Adults (15+) estimate","2005","UNAIDS_Spectrum Estimates_","Number","126",""
"Afghanistan","Adults (15+) estimate","2004","UNAIDS_Spectrum Estimates_","Number","115",""
"Afghanistan","Adults (15+) estimate","2003","UNAIDS_Spectrum Estimates_","Number","105",""
"Afghanistan","Adults (15+) estimate","2002","UNAIDS_Spectrum Estimates_","Number","95",""
"Afghanistan","Adults (15+) estimate","2001","UNAIDS_Spectrum Estimates_","Number","87",""
"Afghanistan","Adults (15+) estimate","2000","UNAIDS_Spectrum Estimates_","Number","78",""
"Afghanistan","Adults (15+) estimate","1999","UNAIDS_Spectrum Estimates_","Number","71",""
"Afghanistan","Adults (15+) estimate","1998","UNAIDS_Spectrum Estimates_","Number","63",""
"Afghanistan","Adults (15+) estimate","1997","UNAIDS_Spectrum Estimates_","Number","56",""
"Afghanistan","Adults (15+) estimate","1996","UNAIDS_Spectrum Estimates_","Number","50",""
"Afghanistan","Adults (15+) estimate","1995","UNAIDS_Spectrum Estimates_","Number","43",""
"Afghanistan","Adults (15+) estimate","1994","UNAIDS_Spectrum Estimates_","Number","36",""
"Afghanistan","Adults (15+) estimate","1993","UNAIDS_Spectrum Estimates_","Number","30",""
"Afghanistan","Adults (15+) estimate","1992","UNAIDS_Spectrum Estimates_","Number","24",""
"Afghanistan","Adults (15+) estimate","1991","UNAIDS_Spectrum Estimates_","Number","19",""
"Afghanistan","Adults (15+) estimate","1990","UNAIDS_Spectrum Estimates_","Number","15",""
"Afghanistan","Adults (15+) lower estimate","2012","UNAIDS_Spectrum Estimates_","Number","81",""
"Afghanistan","Adults (15+) lower estimate","2011","UNAIDS_Spectrum Estimates_","Number","77",""
"Afghanistan","Adults (15+) lower estimate","2010","UNAIDS_Spectrum Estimates_","Number","78",""
"Afghanistan","Adults (15+) lower estimate","2009","UNAIDS_Spectrum Estimates_","Number","77",""
"Afghanistan","Adults (15+) lower estimate","2008","UNAIDS_Spectrum Estimates_","Number","72",""
"Afghanistan","Adults (15+) lower estimate","2007","UNAIDS_Spectrum Estimates_","Number","64",""
"Afghanistan","Adults (15+) lower estimate","2006","UNAIDS_Spectrum Estimates_","Number","59",""
"Afghanistan","Adults (15+) lower estimate","2005","UNAIDS_Spectrum Estimates_","Number","54",""
"Afghanistan","Adults (15+) lower estimate","2004","UNAIDS_Spectrum Estimates_","Number","49",""
"Afghanistan","Adults (15+) lower estimate","2003","UNAIDS_Spectrum Estimates_","Number","44",""
"Afghanistan","Adults (15+) lower estimate","2002","UNAIDS_Spectrum Estimates_","Number","40",""
"Afghanistan","Adults (15+) lower estimate","2001","UNAIDS_Spectrum Estimates_","Number","35",""
"Afghanistan","Adults (15+) lower estimate","2000","UNAIDS_Spectrum Estimates_","Number","31",""
"Afghanistan","Adults (15+) lower estimate","1999","UNAIDS_Spectrum Estimates_","Number","27",""
"Afghanistan","Adults (15+) lower estimate","1998","UNAIDS_Spectrum Estimates_","Number","23",""
"Afghanistan","Adults (15+) lower estimate","1997","UNAIDS_Spectrum Estimates_","Number","20",""
"Afghanistan","Adults (15+) lower estimate","1996","UNAIDS_Spectrum Estimates_","Number","17",""
"Afghanistan","Adults (15+) lower estimate","1995","UNAIDS_Spectrum Estimates_","Number","14",""
"Afghanistan","Adults (15+) lower estimate","1994","UNAIDS_Spectrum Estimates_","Number","12",""
"Afghanistan","Adults (15+) lower estimate","1993","UNAIDS_Spectrum Estimates_","Number","9",""
"Afghanistan","Adults (15+) lower estimate","1992","UNAIDS_Spectrum Estimates_","Number","6",""
"Afghanistan","Adults (15+) lower estimate","1991","UNAIDS_Spectrum Estimates_","Number","4",""
"Afghanistan","Adults (15+) lower estimate","1990","UNAIDS_Spectrum Estimates_","Number","2",""
"Afghanistan","Adults (15+) upper estimate","2012","UNAIDS_Spectrum Estimates_","Number","688",""
"Afghanistan","Adults (15+) upper estimate","2011","UNAIDS_Spectrum Estimates_","Number","637",""
"Afghanistan","Adults (15+) upper estimate","2010","UNAIDS_Spectrum Estimates_","Number","582",""
"Afghanistan","Adults (15+) upper estimate","2009","UNAIDS_Spectrum Estimates_","Number","539",""
"Afghanistan","Adults (15+) upper estimate","2008","UNAIDS_Spectrum Estimates_","Number","492",""
"Afghanistan","Adults (15+) upper estimate","2007","UNAIDS_Spectrum Estimates_","Number","470",""
"Afghanistan","Adults (15+) upper estimate","2006","UNAIDS_Spectrum Estimates_","Number","447",""
"Afghanistan","Adults (15+) upper estimate","2005","UNAIDS_Spectrum Estimates_","Number","400",""
"Afghanistan","Adults (15+) upper estimate","2004","UNAIDS_Spectrum Estimates_","Number","390",""
"Afghanistan","Adults (15+) upper estimate","2003","UNAIDS_Spectrum Estimates_","Number","377",""
"Afghanistan","Adults (15+) upper estimate","2002","UNAIDS_Spectrum Estimates_","Number","365",""
"Afghanistan","Adults (15+) upper estimate","2001","UNAIDS_Spectrum Estimates_","Number","348",""
"Afghanistan","Adults (15+) upper estimate","2000","UNAIDS_Spectrum Estimates_","Number","325",""
"Afghanistan","Adults (15+) upper estimate","1999","UNAIDS_Spectrum Estimates_","Number","304",""
"Afghanistan","Adults (15+) upper estimate","1998","UNAIDS_Spectrum Estimates_","Number","270",""
"Afghanistan","Adults (15+) upper estimate","1997","UNAIDS_Spectrum Estimates_","Number","230",""
"Afghanistan","Adults (15+) upper estimate","1996","UNAIDS_Spectrum Estimates_","Number","199",""
"Afghanistan","Adults (15+) upper estimate","1995","UNAIDS_Spectrum Estimates_","Number","171",""
"Afghanistan","Adults (15+) upper estimate","1994","UNAIDS_Spectrum Estimates_","Number","144",""
"Afghanistan","Adults (15+) upper estimate","1993","UNAIDS_Spectrum Estimates_","Number","107",""
"Afghanistan","Adults (15+) upper estimate","1992","UNAIDS_Spectrum Estimates_","Number","89",""
"Afghanistan","Adults (15+) upper estimate","1991","UNAIDS_Spectrum Estimates_","Number","73",""
"Afghanistan","Adults (15+) upper estimate","1990","UNAIDS_Spectrum Estimates_","Number","57",""
"Afghanistan","All ages estimate","2012","UNAIDS_Spectrum Estimates_","Number","254",""
"Afghanistan","All ages estimate","2011","UNAIDS_Spectrum Estimates_","Number","235",""
"Afghanistan","All ages estimate","2010","UNAIDS_Spectrum Estimates_","Number","223",""
"Afghanistan","All ages estimate","2009","UNAIDS_Spectrum Estimates_","Number","210",""
"Afghanistan","All ages estimate","2008","UNAIDS_Spectrum Estimates_","Number","192",""
